Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,24-304,2000,8.5,17,1.99,5,6,0,0,2,4,1,0.12,0,0,0,0,0,1,Matches
Cristhian Stuani,uy URU,FW,Girona,es La Liga,38-038,1986,2.0,3,1.53,1,0,1,1,0,0,1,0.51,0,0,0,1,0,0,Matches
Cristhian Mosquera,es ESP,DF,Valencia,es La Liga,20-145,2004,11.0,1,0.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Craig Dawson,eng ENG,DF,Wolves,eng Premier League,34-197,1990,8.3,6,0.72,5,0,0,1,0,0,2,0.24,1,0,0,1,0,0,Matches
Corentin Tolisso,fr FRA,MF,Lyon,fr Ligue 1,30-108,1994,6.7,30,4.48,25,0,1,3,1,0,3,0.45,2,0,0,1,0,0,Matches
Copete,es ESP,DF,Mallorca,es La Liga,25-040,1999,4.4,1,0.23,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Conor Townsend,eng ENG,MF,Ipswich Town,eng Premier League,31-260,1993,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Conor Gallagher,eng ENG,MF,Atlético Madrid,es La Liga,24-287,2000,6.7,8,1.20,5,0,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Conor Coady,eng ENG,DF,Leicester City,eng Premier League,31-268,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,eng Premier League,27-277,1997,3.1,9,2.89,8,1,0,0,0,0,1,0.32,1,0,0,0,0,0,Matches
Conor Bradley,nir NIR,DF,Liverpool,eng Premier League,21-133,2003,1.6,3,1.86,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Connor Metcalfe,au AUS,MF,St. Pauli,de Bundesliga,25-014,1999,2.5,5,1.98,1,2,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Cole Palmer,eng ENG,"MF,FW",Chelsea,eng Premier League,22-197,2002,10.6,55,5.19,37,6,6,4,2,0,7,0.66,6,0,1,0,0,0,Matches
Cole Campbell,is ISL,"MF,FW",Dortmund,de Bundesliga,18-273,2006,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Cody Gakpo,nl NED,FW,Liverpool,eng Premier League,25-196,1999,4.7,16,3.41,13,0,0,1,2,0,1,0.21,1,0,0,0,0,0,Matches
Clinton Mata,ao ANG,DF,Lyon,fr Ligue 1,32-012,1992,7.1,9,1.27,8,0,1,0,0,0,4,0.57,3,0,1,0,0,0,Matches
Clément Lenglet,fr FRA,DF,Atlético Madrid,es La Liga,29-155,1995,3.4,4,1.18,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,22-361,2001,8.0,12,1.49,9,2,0,0,1,0,2,0.25,1,0,0,0,1,0,Matches
Chuky san jose,es ESP,"MF,FW",Valladolid,es La Liga,20-204,2004,1.0,2,2.02,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Christopher Wooh,cm CMR,DF,Rennes,fr Ligue 1,23-062,2001,9.5,6,0.63,2,1,0,1,2,0,0,0.00,0,0,0,0,0,0,Matches
Christopher Trimmel,at AUT,"DF,MF",Union Berlin,de Bundesliga,37-269,1987,6.2,15,2.44,9,5,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Christopher Operi,ci CIV,"DF,FW",Le Havre,fr Ligue 1,27-204,1997,9.0,26,2.89,14,10,1,0,1,0,2,0.22,1,1,0,0,0,0,Matches
Christopher Nkunku,fr FRA,FW,Chelsea,eng Premier League,27-005,1997,1.8,13,7.18,9,0,3,1,0,0,1,0.55,0,0,1,0,0,0,Matches
Christoph Baumgartner,at AUT,MF,RB Leipzig,de Bundesliga,25-110,1999,4.1,10,2.43,7,0,2,1,0,0,3,0.73,2,0,1,0,0,0,Matches
Christian Walton,eng ENG,GK,Ipswich Town,eng Premier League,29-010,1995,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Christian Pulisic,us USA,"FW,MF",Milan,it Serie A,26-062,1998,9.3,42,4.54,28,7,1,3,2,1,5,0.54,1,2,0,1,0,1,Matches
Christian Nørgaard,dk DEN,MF,Brentford,eng Premier League,30-254,1994,8.6,15,1.74,12,0,0,2,1,0,4,0.46,4,0,0,0,0,0,Matches
Christian Mawissa,fr FRA,DF,Monaco,fr Ligue 1,19-215,2005,2.3,3,1.29,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Christian Kouamé,ci CIV,"FW,MF",Fiorentina,it Serie A,26-349,1997,5.5,21,3.80,17,0,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Christian Kabasele,be BEL,DF,Udinese,it Serie A,33-269,1991,7.2,7,0.97,4,0,1,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Christian Gytkjær,dk DEN,"FW,MF",Venezia,it Serie A,34-197,1990,2.5,1,0.40,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Christian Günter,de GER,DF,Freiburg,de Bundesliga,31-265,1993,9.6,26,2.71,23,2,0,0,1,0,1,0.10,1,0,0,0,0,0,Matches
Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,32-279,1992,4.9,25,5.10,16,9,0,0,0,0,5,1.02,3,2,0,0,0,0,Matches
Chrislain Matsima,fr FRA,DF,Augsburg,de Bundesliga,22-188,2002,4.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Chrisantus Uche,ng NGA,"FW,MF",Getafe,es La Liga,21-184,2003,11.0,32,2.90,19,0,4,2,7,0,1,0.09,0,0,0,0,1,0,Matches
Chris Wood,nz NZL,FW,Nott'ham Forest,eng Premier League,32-348,1991,9.9,11,1.11,8,0,0,2,0,1,0,0.00,0,0,0,0,0,0,Matches
Chris Richards,us USA,DF,Crystal Palace,eng Premier League,24-236,2000,3.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Chris Führich,de GER,"FW,MF",Stuttgart,de Bundesliga,26-315,1998,4.1,25,6.18,21,0,0,4,0,0,3,0.74,2,0,0,1,0,0,Matches
Chiquinho,pt POR,MF,Wolves,eng Premier League,24-288,2000,0.1,2,25.71,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Chiquinho,pt POR,"MF,FW",Mallorca,es La Liga,24-288,2000,1.5,7,4.53,0,2,3,1,1,0,1,0.65,0,1,0,0,0,0,Matches
Chiedozie Ogbene,ie IRL,FW,Ipswich Town,eng Premier League,27-202,1997,2.6,3,1.13,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Chidera Ejuke,ng NGA,"FW,MF",Sevilla,es La Liga,26-322,1998,6.0,30,4.98,17,4,7,0,2,0,1,0.17,1,0,0,0,0,0,Matches
Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,24-316,2000,1.5,2,1.35,1,0,0,1,0,0,1,0.68,0,0,0,1,0,0,Matches
Che Adams,sct SCO,FW,Torino,it Serie A,28-129,1996,7.5,22,2.95,17,0,0,3,2,0,1,0.13,1,0,0,0,0,0,Matches
Charlie Taylor,eng ENG,DF,Southampton,eng Premier League,31-062,1993,2.3,2,0.86,2,0,0,0,0,0,1,0.43,1,0,0,0,0,0,Matches
Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,22-094,2002,7.8,7,0.90,5,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,23-254,2001,8.5,33,3.88,28,0,1,3,1,0,7,0.82,6,0,0,1,0,0,Matches
Charalambos Lykogiannis,gr GRE,DF,Bologna,it Serie A,31-028,1993,4.5,12,2.69,7,5,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches
Chadi Riad,ma MAR,DF,Crystal Palace,eng Premier League,21-155,2003,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
César Tárrega,es ESP,DF,Valencia,es La Liga,22-267,2002,9.0,2,0.22,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,35-083,1989,4.3,3,0.69,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Cenk Özkacar,tr TUR,DF,Valladolid,es La Liga,24-044,2000,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Cedric Zesiger,ch SUI,DF,Wolfsburg,de Bundesliga,26-148,1998,5.8,5,0.86,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Cédric Kipré,ci CIV,DF,Reims,fr Ligue 1,27-346,1996,5.8,6,1.03,4,1,0,1,0,0,1,0.17,1,0,0,0,0,0,Matches
Cédric Hountondji,bj BEN,DF,Angers,fr Ligue 1,30-305,1994,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Cédric Bakambu,cd COD,FW,Betis,es La Liga,33-222,1991,2.4,3,1.23,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Catena,es ESP,DF,Osasuna,es La Liga,30-022,1994,12.0,6,0.50,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,21-338,2002,6.8,5,0.74,5,0,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches
Casper Tengstedt,dk DEN,"FW,MF",Hellas Verona,it Serie A,24-171,2000,8.4,14,1.66,9,0,1,2,2,0,2,0.24,1,0,0,1,0,0,Matches
Casemiro,br BRA,MF,Manchester Utd,eng Premier League,32-270,1992,6.9,34,4.90,31,1,0,2,0,0,3,0.43,3,0,0,0,0,0,Matches
Carmona,es ESP,DF,Sevilla,es La Liga,22-295,2002,12.7,21,1.65,13,1,2,1,3,1,0,0.00,0,0,0,0,0,0,Matches
Carlos Vicente,es ESP,"FW,MF",Alavés,es La Liga,25-210,1999,11.7,38,3.25,16,18,1,2,1,0,1,0.09,1,0,0,0,0,0,Matches
Carlos Soler,es ESP,"MF,FW",West Ham,eng Premier League,27-322,1997,3.0,9,3.02,5,1,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches
Carlos Romero,es ESP,DF,Espanyol,es La Liga,23-021,2001,9.6,24,2.51,13,9,2,0,0,0,2,0.21,1,1,0,0,0,0,Matches
Carlos Martín,es ESP,"FW,MF",Alavés,es La Liga,22-211,2002,3.2,5,1.55,2,0,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Carlos Gómez,co COL,"MF,FW",Rennes,fr Ligue 1,22-068,2002,2.5,6,2.43,4,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Carlos Forbs,pt POR,"MF,FW",Wolves,eng Premier League,20-245,2004,2.0,4,2.02,3,0,1,0,0,0,1,0.51,1,0,0,0,0,0,Matches
Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,23-282,2001,3.8,2,0.52,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Carlos Benavídez,uy URU,MF,Alavés,es La Liga,26-234,1998,2.6,7,2.75,5,0,1,0,0,1,2,0.79,2,0,0,0,0,0,Matches
Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,20-321,2004,6.9,19,2.78,16,0,1,1,0,1,1,0.15,0,0,0,0,0,1,Matches
Carlos Augusto,br BRA,DF,Inter,it Serie A,25-317,1999,2.1,2,0.95,0,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,21-355,2002,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Carlo Boukhalfa,ma MAR,MF,St. Pauli,de Bundesliga,25-200,1999,5.6,10,1.80,8,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Carles Pérez,es ESP,"MF,FW",Getafe,es La Liga,26-277,1998,9.9,25,2.54,16,1,6,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,26-319,1998,3.5,3,0.87,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,28-144,1996,9.2,16,1.73,14,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Carl Starfelt,se SWE,DF,Celta Vigo,es La Liga,29-171,1995,10.2,2,0.20,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Carl Johansson,se SWE,DF,Holstein Kiel,de Bundesliga,30-180,1994,3.9,5,1.30,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,27-236,1997,4.0,1,0.25,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,25-362,1998,5.0,2,0.40,2,0,0,0,0,0,1,0.20,1,0,0,0,0,0,Matches
Can Uzun,tr TUR,"FW,MF",Eint Frankfurt,de Bundesliga,19-008,2005,1.1,1,0.93,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Cameron Burgess,au AUS,DF,Ipswich Town,eng Premier League,29-029,1995,4.0,2,0.50,2,0,0,0,0,0,1,0.25,1,0,0,0,0,0,Matches
Cameron Archer,eng ENG,FW,Southampton,eng Premier League,23-121,2001,6.6,5,0.76,0,0,2,2,1,0,0,0.00,0,0,0,0,0,0,Matches
Calvin Bassey,ng NGA,DF,Fulham,eng Premier League,24-324,1999,11.0,5,0.45,4,1,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
Callum Hudson-Odoi,eng ENG,FW,Nott'ham Forest,eng Premier League,24-012,2000,8.7,42,4.82,32,2,4,1,3,0,3,0.34,1,0,0,0,2,0,Matches
Caleb Wiley,us USA,"DF,MF",Strasbourg,fr Ligue 1,19-333,2004,2.5,4,1.63,3,0,0,0,1,0,1,0.41,1,0,0,0,0,0,Matches
Caleb Okoli,it ITA,DF,Leicester City,eng Premier League,23-129,2001,7.0,2,0.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Caleb Kporha,eng ENG,DF,Crystal Palace,eng Premier League,18-127,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,30-241,1994,2.3,2,0.86,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Caio Henrique Oliveira Silva,br BRA,DF,Monaco,fr Ligue 1,27-111,1997,6.5,21,3.25,13,7,1,0,0,0,2,0.31,1,1,0,0,0,0,Matches
Bukayo Saka,eng ENG,"MF,FW",Arsenal,eng Premier League,23-075,2001,9.1,57,6.26,35,10,5,5,2,0,12,1.32,8,2,1,1,0,0,Matches
Bryan Zaragoza,es ESP,"FW,MF",Osasuna,es La Liga,23-208,2001,10.0,39,3.91,25,2,8,1,3,0,7,0.70,5,0,1,1,0,0,Matches
Bryan Mbeumo,cm CMR,FW,Brentford,eng Premier League,25-104,1999,10.9,41,3.75,29,7,3,1,1,0,5,0.46,5,0,0,0,0,0,Matches
Bryan Gil,es ESP,"FW,MF",Girona,es La Liga,23-282,2001,7.8,27,3.49,20,1,4,0,1,1,3,0.39,3,0,0,0,0,0,Matches
Bryan Cristante,it ITA,MF,Roma,it Serie A,29-261,1995,9.2,20,2.17,18,0,0,2,0,0,1,0.11,1,0,0,0,0,0,Matches
Bruno Guimarães,br BRA,MF,Newcastle Utd,eng Premier League,27-003,1997,10.9,30,2.76,25,0,2,0,3,0,3,0.28,3,0,0,0,0,0,Matches
Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,eng Premier League,30-072,1994,10.3,42,4.07,35,2,1,1,2,1,4,0.39,4,0,0,0,0,0,Matches
Brooke Norton-Cuffy,eng ENG,"DF,MF",Genoa,it Serie A,20-312,2004,1.1,3,2.70,3,0,0,0,0,0,1,0.90,1,0,0,0,0,0,Matches
Brice Samba,fr FRA,GK,Lens,fr Ligue 1,30-208,1994,11.0,3,0.27,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Brian Oliván,es ESP,"DF,MF",Espanyol,es La Liga,30-232,1994,3.7,7,1.79,3,4,0,0,0,0,1,0.26,0,1,0,0,0,0,Matches
Brenner,br BRA,"MF,FW",Udinese,it Serie A,24-308,2000,4.3,10,2.35,8,2,0,0,0,0,1,0.23,1,0,0,0,0,0,Matches
Brennan Johnson,wls WAL,FW,Tottenham,eng Premier League,23-180,2001,9.6,18,1.87,15,0,1,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,29-333,1994,9.0,4,0.44,3,0,0,1,0,0,1,0.11,0,0,0,1,0,0,Matches
Breel Embolo,ch SUI,FW,Monaco,fr Ligue 1,27-279,1997,6.5,13,2.00,10,0,1,1,1,0,2,0.31,2,0,0,0,0,0,Matches
Brajan Gruda,de GER,MF,Brighton,eng Premier League,20-172,2004,0.7,2,2.86,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Brais Méndez,es ESP,MF,Real Sociedad,es La Liga,27-317,1997,7.3,20,2.73,17,2,0,0,1,0,1,0.14,1,0,0,0,0,0,Matches
Brahim Díaz,ma MAR,"FW,MF",Real Madrid,es La Liga,25-108,1999,2.3,13,5.74,10,0,2,0,0,1,4,1.76,3,0,0,0,0,1,Matches
Bradley Barcola,fr FRA,FW,Paris S-G,fr Ligue 1,22-078,2002,8.3,38,4.59,30,0,5,2,1,0,9,1.09,7,0,1,1,0,0,Matches
Boulaye Dia,sn SEN,"MF,FW",Lazio,it Serie A,28-003,1996,7.7,23,3.00,16,0,3,2,1,1,5,0.65,4,0,0,1,0,0,Matches
Boubakary Soumaré,fr FRA,MF,Leicester City,eng Premier League,25-266,1999,1.6,3,1.90,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Boubakar Kouyaté,ml MLI,DF,Montpellier,fr Ligue 1,27-218,1997,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Boubacar Kamara,fr FRA,MF,Aston Villa,eng Premier League,24-362,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Botond Balogh,hu HUN,DF,Parma,it Serie A,22-166,2002,10.7,7,0.65,6,0,0,0,0,1,1,0.09,1,0,0,0,0,0,Matches
Borna Sosa,hr CRO,DF,Torino,it Serie A,26-303,1998,3.7,3,0.81,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Borja Mayoral,es ESP,FW,Getafe,es La Liga,27-228,1997,1.4,2,1.38,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Borja Iglesias,es ESP,FW,Celta Vigo,es La Liga,31-307,1993,7.6,10,1.31,8,0,0,1,1,0,1,0.13,0,0,0,0,1,0,Matches
Bojan Miovski,mk MKD,FW,Girona,es La Liga,25-148,1999,5.0,6,1.19,2,0,0,2,1,1,3,0.60,1,0,0,1,1,0,Matches
Bobby Reid,jm JAM,FW,Leicester City,eng Premier League,31-291,1993,1.8,3,1.67,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Birama Touré,ml MLI,"MF,DF",Montpellier,fr Ligue 1,32-166,1992,3.3,6,1.81,5,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Billy Gilmour,sct SCO,MF,Brighton,eng Premier League,23-161,2001,1.1,3,2.76,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Billy Gilmour,sct SCO,MF,Napoli,it Serie A,23-161,2001,4.4,10,2.30,7,2,1,0,0,0,1,0.23,1,0,0,0,0,0,Matches
Bilal El Khannouss,ma MAR,"MF,FW",Leicester City,eng Premier League,20-193,2004,2.2,6,2.69,4,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Bilal Brahimi,dz ALG,MF,Nice,fr Ligue 1,24-250,2000,0.8,1,1.18,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Beto,gw GNB,FW,Everton,eng Premier League,26-293,1998,1.1,2,1.76,0,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Bertuğ Yıldırım,tr TUR,FW,Getafe,es La Liga,22-130,2002,7.5,14,1.88,8,0,1,2,3,0,1,0.13,0,0,0,0,1,0,Matches
Bernd Leno,de GER,GK,Fulham,eng Premier League,32-260,1992,11.0,2,0.18,2,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
Bernardo Silva,pt POR,"MF,FW",Manchester City,eng Premier League,30-101,1994,9.3,41,4.41,38,0,3,0,0,0,5,0.54,5,0,0,0,0,0,Matches
Beres Owusu,fr FRA,DF,Saint-Étienne,fr Ligue 1,21-061,2003,1.0,2,2.00,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,31-274,1993,10.3,10,0.98,7,0,0,3,0,0,2,0.20,2,0,0,0,0,0,Matches
Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,23-238,2001,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Benjamin Šeško,si SVN,"FW,MF",RB Leipzig,de Bundesliga,21-172,2003,7.4,11,1.49,8,0,2,1,0,0,3,0.41,1,0,1,1,0,0,Matches
Benjamin Pavard,fr FRA,DF,Inter,it Serie A,28-236,1996,8.5,14,1.65,13,0,0,0,1,0,1,0.12,1,0,0,0,0,0,Matches
Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,33-207,1991,8.0,1,0.12,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Benjamin Henrichs,de GER,DF,RB Leipzig,de Bundesliga,27-270,1997,5.4,15,2.78,14,1,0,0,0,0,3,0.56,3,0,0,0,0,0,Matches
Benjamín Domínguez,ar ARG,FW,Bologna,it Serie A,21-061,2003,0.7,1,1.45,1,0,0,0,0,0,1,1.45,1,0,0,0,0,0,Matches
Benjamin Bourigeaud,fr FRA,MF,Rennes,fr Ligue 1,30-310,1994,0.9,2,2.25,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Benjamin Bouchouari,ma MAR,MF,Saint-Étienne,fr Ligue 1,23-006,2001,3.4,12,3.55,11,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Benjamin André,fr FRA,MF,Lille,fr Ligue 1,34-108,1990,8.9,15,1.68,13,0,0,1,1,0,3,0.34,2,0,0,1,0,0,Matches
Benito Ramírez,es ESP,"DF,MF",Las Palmas,es La Liga,29-131,1995,2.7,14,5.25,12,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Benedikt Pichler,at AUT,FW,Holstein Kiel,de Bundesliga,27-122,1997,6.7,18,2.70,10,1,2,4,1,0,1,0.15,0,0,1,0,0,0,Matches
Benedikt Gimber,de GER,DF,Heidenheim,de Bundesliga,27-274,1997,9.7,5,0.52,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Benedict Hollerbach,de GER,"FW,MF",Union Berlin,de Bundesliga,23-186,2001,7.9,16,2.04,10,0,2,1,2,1,2,0.26,1,0,0,0,1,0,Matches
Bence Dárdai,de GER,"MF,FW",Wolfsburg,de Bundesliga,18-300,2006,2.0,8,4.00,7,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Beñat Turrientes,es ESP,MF,Real Sociedad,es La Liga,22-293,2002,5.1,3,0.59,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Beñat Prados,es ESP,MF,Athletic Club,es La Liga,23-285,2001,6.5,6,0.92,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ben White,eng ENG,DF,Arsenal,eng Premier League,27-042,1997,7.7,8,1.04,8,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches
Ben Viadere,fr FRA,MF,Auxerre,fr Ligue 1,19-078,2005,0.1,1,18.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ben Old,nz NZL,"MF,FW",Saint-Étienne,fr Ligue 1,22-098,2002,4.2,10,2.39,7,0,1,1,1,0,1,0.24,1,0,0,0,0,0,Matches
Ben Mee,eng ENG,"DF,FW",Brentford,eng Premier League,35-059,1989,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ben Johnson,eng ENG,"DF,FW",Ipswich Town,eng Premier League,24-300,2000,4.5,7,1.56,4,1,0,0,2,0,2,0.45,2,0,0,0,0,0,Matches
Ben Godfrey,eng ENG,DF,Atalanta,it Serie A,26-309,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ben Davies,wls WAL,DF,Tottenham,eng Premier League,31-209,1993,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ben Brereton,cl CHI,FW,Southampton,eng Premier League,25-215,1999,4.5,9,1.99,7,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Becir Omeragic,ch SUI,DF,Montpellier,fr Ligue 1,22-304,2002,5.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,22-093,2002,9.0,1,0.11,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Baptiste Santamaria,fr FRA,MF,Rennes,fr Ligue 1,29-255,1995,5.3,10,1.87,8,1,0,0,1,0,2,0.37,1,0,0,0,1,0,Matches
Bamo Meïté,ci CIV,"DF,MF",Marseille,fr Ligue 1,22-352,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Bamba Dieng,sn SEN,FW,Angers,fr Ligue 1,24-241,2000,2.6,4,1.51,3,0,0,0,1,0,1,0.38,0,0,0,0,1,0,Matches
Balthazar Pierret,fr FRA,MF,Lecce,it Serie A,24-188,2000,5.8,13,2.25,12,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Bahereba Guirassy,fr FRA,"FW,MF",Nantes,fr Ligue 1,18-082,2006,0.8,3,3.86,1,0,2,0,0,0,2,2.57,0,0,2,0,0,0,Matches
Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,23-318,2001,11.0,8,0.73,8,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
Badredine Bouanani,dz ALG,"FW,MF",Nice,fr Ligue 1,19-347,2004,3.1,10,3.20,7,1,1,1,0,0,1,0.32,0,0,0,1,0,0,Matches
Azor Matusiwa,nl NED,MF,Rennes,fr Ligue 1,26-205,1998,8.5,16,1.89,15,1,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
Ayyoub Bouaddi,fr FRA,MF,Lille,fr Ligue 1,17-048,2007,3.4,5,1.46,4,0,1,0,0,0,2,0.58,1,0,1,0,0,0,Matches
Ayoze Pérez,es ESP,FW,Villarreal,es La Liga,31-113,1993,5.7,18,3.03,13,0,2,1,2,0,0,0.00,0,0,0,0,0,0,Matches
Aymen Barkok,ma MAR,MF,Mainz 05,de Bundesliga,26-182,1998,0.8,2,2.47,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ayman Azhil,ma MAR,MF,Dortmund,de Bundesliga,23-223,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
